pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrain	0.400501504513541	0.400501504513541	-0.407006562308888	-1.02752364651094	3992	338
ALS.MetaBrainCortex	0.369520547945206	0.400501504513541	-0.8169187133963	-1.10301469143751	2157	2
ALS.MetaBrainCerebellum	0.314897260273973	0.400501504513541	-0.837699897924464	-1.13107372774572	1838	2
Schizophrenia.MetaBrainCortex	0.0288201741218853	0.0576403482437706	-0.460026281821546	-1.16631906894459	287	463
Schizophrenia.MetaBrainCerebellum	0.001999800019998	0.005332800053328	-0.46067723336881	-1.17509362490509	19	983
MS.MetaBrain	0.12090297373562	0.193444757976992	-0.498534781496384	-1.19158146111297	1113	91
MS.MetaBrainCerebellum	0.00132965122225632	0.00531860488902526	-0.559841867401613	-1.39256932662138	12	185
MS.MetaBrainCortex	0.000102218133496882	0.000817745067975059	-0.646557109489395	-1.6089867534036	0	186
