pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrain	0.000136425648021828	0.00109140518417462	0.261176179244595	1.33345734692313	0	1985
MS.MetaBrainCerebellum	0.00572951365756163	0.0114590273151233	0.242850738489966	1.22994687391033	42	983
Schizophrenia.MetaBrainCerebellum	0.0034058448692595	0.00908225298469201	0.21211434095753	1.13776648876086	30	4820
ALS.MetaBrainCortex	0.375253924284395	0.428861627753594	0.342373003902543	1.05316895562832	2031	28
Schizophrenia.MetaBrainCortex	0.53346787756475	0.53346787756475	0.193097502021936	0.991011114295874	4757	2487
ALS.MetaBrainCerebellum	0.338482867894633	0.428861627753594	-0.455990534948466	-1.09395868259786	1708	11
MS.MetaBrain	0.092560553633218	0.148096885813149	-0.214033379263377	-1.10493001142933	213	593
MS.MetaBrainCortex	0.00040551500405515	0.0016220600162206	-0.341804003999243	-1.81581783745873	0	959
