pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS.MetaBrainCerebellum	0.551226158038147	0.998197115384615	0.497788363388908	0.815687277894039	2022	2
Schizophrenia.MetaBrainCortex	0.998197115384615	0.998197115384615	-0.154487387996707	-0.692285850336586	9965	463
Schizophrenia.MetaBrain	0.95842099989981	0.998197115384615	-0.18853091088103	-0.791545262594293	9565	338
ALS.MetaBrainCortex	0.748968878890139	0.998197115384615	-0.557440989922073	-0.825725764198312	3994	2
MS.MetaBrain	0.745731375747689	0.998197115384615	-0.214933570819873	-0.861917376827228	6856	91
Schizophrenia.MetaBrainCerebellum	0.899410058994101	0.998197115384615	-0.21065522297006	-0.896549591397984	8994	983
MS.MetaBrainCerebellum	0.193090292496821	0.772361169987283	-0.254047218162141	-1.14705669725549	1821	185
MS.MetaBrainCortex	0.000224693854623076	0.00179755083698461	-0.338544961361907	-1.61141344666745	1	186
