pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS.MetaBrainCerebellum	0.0441955804419558	0.117854881178549	0.65571217527294	1.50250899416758	441	8
MS.MetaBrainCortex	9.99900009999e-05	0.0007999200079992	0.370884975285653	1.17257193560312	0	860
Schizophrenia.MetaBrainCortex	0.0307969203079692	0.117854881178549	0.330471971330518	1.05687491495805	307	2507
MS.MetaBrain	0.248175182481752	0.356364363563644	0.331126750514883	1.03890873494026	2481	557
Schizophrenia.MetaBrainCerebellum	0.0886911308869113	0.177382261773823	0.322444711130528	1.03415479899467	886	4737
Schizophrenia.MetaBrain	0.267273272672733	0.356364363563644	0.319574167264464	1.02060769245749	2672	2024
MS.MetaBrainCerebellum	0.671332866713329	0.76723756195809	0.309561962215739	0.980235362127232	6713	950
ALS.MetaBrainCortex	0.809419058094191	0.809419058094191	0.307805212772821	0.827026542269938	8094	30
