pathway	pval	padj	ES	NES	nMoreExtreme	size
MS.MetaBrainCerebellum	0.951804819518048	1	0.27416757842754	0.905013753848712	9518	185
Schizophrenia.MetaBrain	0.986801319868013	1	0.268292179226981	0.902514710211399	9868	338
MS.MetaBrainCortex	0.985701429857014	1	0.266556396050397	0.880103078831466	9857	186
ALS.MetaBrainCortex	0.612638736126387	1	0.472378043341603	0.879919314341834	6126	2
Schizophrenia.MetaBrainCerebellum	1	1	0.253033281062307	0.865682544141149	10000	983
Schizophrenia.MetaBrainCortex	1	1	0.249403074970737	0.844616506894642	10000	463
MS.MetaBrain	0.986001399860014	1	0.262650152641264	0.838580520461164	9860	91
ALS.MetaBrainCerebellum	0.92970702929707	1	0.210264686777306	0.391669260727244	9297	2
