pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS.MetaBrainCerebellum	0.684533648170012	0.932814134604208	0.497788363388908	0.771954259569476	2898	2
Schizophrenia.MetaBrainCortex	0.992138681717396	0.992138681717396	-0.154487387996707	-0.728694405069598	9843	463
ALS.MetaBrainCortex	0.762311327946333	0.932814134604208	-0.557440989922073	-0.837407787949654	4999	2
Schizophrenia.MetaBrain	0.816212367778682	0.932814134604208	-0.18853091088103	-0.873659859559055	8024	338
MS.MetaBrain	0.678097217411384	0.932814134604208	-0.214933570819873	-0.891880187594382	5872	91
Schizophrenia.MetaBrainCerebellum	0.474194838967794	0.932814134604208	-0.21065522297006	-1.00700194213659	4740	983
MS.MetaBrainCerebellum	0.199069669098213	0.796278676392853	-0.254047218162141	-1.13612671855107	1882	185
MS.MetaBrainCortex	0.00154830718414533	0.0123864574731627	-0.338544961361907	-1.46842178522719	14	186
