pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrainCerebellum	0.999700029997	1	0.266298319912518	0.911555155267601	9997	5261
MS.MetaBrain	0.985801419858014	1	0.262165288297726	0.87877793356763	9858	646
MS.MetaBrainCortex	0.999800019998	1	0.246337613867313	0.848178524485319	9998	1042
MS.MetaBrainCerebellum	1	1	0.239261164021812	0.817563359680266	10000	1077
ALS.MetaBrainCortex	0.842315768423158	1	0.293189568760864	0.806803516067532	8423	31
ALS.MetaBrainCerebellum	0.787821217878212	1	0.311201551473642	0.786717491396538	7878	12
Schizophrenia.MetaBrainCortex	1	1	0.229483826832069	0.776302794595683	10000	2766
Schizophrenia.MetaBrain	1	1	0.226320368783264	0.762393018987894	10000	2216
