pathway	pval	padj	ES	NES	nMoreExtreme	size
ALS.MetaBrainCerebellum	0.237476252374763	0.271401431285443	0.769649540660089	1.39145677040047	2374	2
ALS.MetaBrainCortex	0.343365663433657	0.343365663433657	0.756694147217328	1.24445555023748	3433	2
MS.MetaBrainCortex	9.99900009999e-05	0.0003999600039996	0.654923446668748	1.14545804722768	0	186
Schizophrenia.MetaBrainCortex	9.99900009999e-05	0.0003999600039996	0.630516185241765	1.12890066341044	0	463
MS.MetaBrain	0.0453954604539546	0.0726327367263274	0.622176069131438	1.08352332679748	453	91
Schizophrenia.MetaBrainCerebellum	0.0004999500049995	0.001333200013332	0.591765866637965	1.07109599729763	4	983
Schizophrenia.MetaBrain	0.0072992700729927	0.0145985401459854	0.596703765769888	1.06874006555002	72	338
MS.MetaBrainCerebellum	0.0560943905609439	0.0747925207479252	0.599714941137303	1.0542412034407	560	185
