pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrain	0.103250478011472	0.118000546298825	0.17360948462113	1.05228269707585	161	2203
ALS.MetaBrainCortex	0.630661114003123	0.630661114003123	0.249347974205471	0.893169802727178	2422	31
Schizophrenia.MetaBrainCerebellum	0.0556128765992571	0.0889806025588114	-0.186674993154994	-1.08008574615938	538	5355
Schizophrenia.MetaBrainCortex	0.0739356884057971	0.0985809178743961	-0.189946787831275	-1.09166121700444	652	2779
MS.MetaBrainCerebellum	0.000421762969211303	0.00168705187684521	-0.240233958208754	-1.35355108801447	2	1106
MS.MetaBrain	0.00207268205057344	0.00540644912145202	-0.253889741280787	-1.35602369431213	14	656
ALS.MetaBrainCerebellum	0.00270322456072601	0.00540644912145202	-0.704899567830652	-1.87742336738587	13	12
MS.MetaBrainCortex	0.000125976316452507	0.00100781053162006	-0.371691436698579	-2.05475440603522	0	1065
