pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrainCerebellum	0.996700329967003	1	0.266298319912518	0.928390787299211	9967	5261
MS.MetaBrain	0.971802819718028	1	0.262165288297726	0.893873118869496	9718	646
MS.MetaBrainCortex	0.999400059994001	1	0.246337613867313	0.84707501283966	9994	1042
ALS.MetaBrainCortex	0.782821717828217	1	0.293189568760864	0.843800892987958	7828	31
MS.MetaBrainCerebellum	1	1	0.239261164021812	0.82310959317487	10000	1077
Schizophrenia.MetaBrainCortex	1	1	0.229483826832069	0.797368751903968	10000	2766
ALS.MetaBrainCerebellum	0.784021597840216	1	0.311201551473642	0.788639028886864	7840	12
Schizophrenia.MetaBrain	1	1	0.226320368783264	0.784880410509032	10000	2216
