data	type	pathway	MetaBrain network	pval	padj	ES	NES	nMoreExtreme	size	ctrlExpr
gtex	sexDE	MS	MetaBrainCerebellum	0.0101071975497703	0.0206580768821212	-0.240233958208754	-1.21782787670856	98	1106	TRUE
gtex	sexDE	MS	MetaBrain	0.0103290384410606	0.0206580768821212	-0.253889741280787	-1.26737017353267	96	656	TRUE
gtex	sexDE	ALS	MetaBrainCerebellum	0.00437509114773224	0.017500364590929	-0.704899567830652	-1.74599232382925	29	12	TRUE
gtex	sexDE	MS	MetaBrainCortex	0.000102165917449939	0.00081732733959951	-0.371691436698579	-1.88097752691227	0	1065	TRUE
hdbr	pseudotimeDE	MS	MetaBrainCortex	0.000116427989288625	0.0004657119571545	0.424106567980295	2.26709677603837	0	860	TRUE
hdbr	pseudotimeDE	MS	MetaBrainCerebellum	0.000115114538966271	0.0004657119571545	0.31603680304722	1.67652923516474	0	950	TRUE
hdbr	pseudotimeDE	ALS	MetaBrainCerebellum	0.020891364902507	0.0334261838440111	0.690194933893629	1.60082736096732	119	8	TRUE
hdbr	pseudotimeDE	MS	MetaBrain	0.000887874175545408	0.00177574835109082	0.277166075909848	1.41340019149492	6	557	TRUE
hdbr	pseudotimeDE	Schizophrenia	MetaBrainCerebellum	0.000200682319887618	0.000535152853033648	0.220199313014867	1.17909920728416	1	4737	TRUE
hdbr	pseudotimeDE	ALS	MetaBrainCortex	0.394671403197158	0.526228537596211	0.322005660529808	1.03805377744034	2221	30	TRUE
hdbr	pseudotimeDE	Schizophrenia	MetaBrainCortex	0.626494940202392	0.715994217374162	0.187208732787153	0.977904968679201	6128	2507	TRUE
hdbr	pseudotimeDE	Schizophrenia	MetaBrain	0.973754908038851	0.973754908038851	0.170378416902547	0.878940138755861	9423	2024	TRUE
hdbr	sexDE	Schizophrenia	MetaBrain	1	1	-0.119317464636106	-0.548164021346121	10000	2216	TRUE
hdbr	sexDE	Schizophrenia	MetaBrainCortex	1	1	-0.130083205599174	-0.614165451225091	10000	2766	TRUE
hdbr	sexDE	ALS	MetaBrainCortex	0.500822680673332	0.66776357423111	-0.302927566258688	-0.979961772240333	3956	31	TRUE
hdbr	sexDE	MS	MetaBrainCerebellum	0.495163240628779	0.66776357423111	-0.189630834270944	-1.00037271713543	4913	1077	TRUE
hdbr	sexDE	Schizophrenia	MetaBrainCerebellum	0.369063093690631	0.66776357423111	-0.20363808290182	-1.01481741982647	3690	5261	TRUE
hdbr	sexDE	MS	MetaBrain	0.111381618989653	0.445526475958612	-0.227457486821837	-1.14143518656627	1097	646	TRUE
hdbr	sexDE	ALS	MetaBrainCerebellum	0.269027882441598	0.66776357423111	-0.439908514236704	-1.17196573602979	1784	12	TRUE
hdbr	sexDE	MS	MetaBrainCortex	0.000101440454453236	0.000811523635625888	-0.275646385811673	-1.4917875001334	0	1042	TRUE
