pathway	pval	padj	ES	NES	nMoreExtreme	size
Schizophrenia.MetaBrain	1	1	-0.119317464636106	-0.646177123117778	9996	2216
Schizophrenia.MetaBrainCortex	1	1	-0.130083205599173	-0.706334109969303	10000	2766
MS.MetaBrainCerebellum	0.448418712741235	0.597891616988313	-0.189630834270944	-1.01168513838028	4437	1077
ALS.MetaBrainCortex	0.399741639156021	0.597891616988313	-0.302927566258688	-1.04047892374793	2784	31
Schizophrenia.MetaBrainCerebellum	0.0148985101489851	0.0595940405959404	-0.20363808290182	-1.11169936435346	148	5261
ALS.MetaBrainCerebellum	0.257869437122034	0.515738874244069	-0.439908514236704	-1.17817992487016	1662	12
MS.MetaBrain	0.0555383183369532	0.148102182231875	-0.227457486821837	-1.19018118106288	536	646
MS.MetaBrainCortex	0.000101183851057371	0.00080947080845897	-0.275646385811674	-1.46905532394413	0	1042
