Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
GTEX-1192X-0011-R10a-SM-DO941	0.03977992487608781	0.47708987949870291	0.01011257593850075	0.24313162944799305	0.01140242862206851	0.00865975826288194	0.01770419341109047	0.18833666700418453	0.00378294293849007	0.00000000000000000	0.89057349716539680	0.73567333411560543
GTEX-1192X-0011-R5a-SM-DNZZA	0.07058166442643325	0.15525698678746555	0.04898493440674606	0.13662770255391379	0.17881217014192036	0.01260340651915282	0.03930690915698203	0.34009701998806274	0.01772920601932349	0.00000000000000000	0.92528145529329697	0.53573464177122043
GTEX-1192X-0011-R6a-SM-DNZZB	0.08905167715122393	0.16846351570098661	0.02385523883345613	0.19427615701713363	0.05683486443033044	0.03247867866780672	0.02295432273395375	0.40425270987579282	0.00783283558931601	0.00000000000000000	0.88442298453800150	0.58860306288418418
GTEX-1192X-0011-R7b-SM-DNZZC	0.10530713366558780	0.06761091960317575	0.03254751224050113	0.00000000000000000	0.41858067547388683	0.00000000000000000	0.04834307399952183	0.31115657048990591	0.01645411452742088	0.00000000000000000	0.91592463077841424	0.42208540406395811
GTEX-1192X-0011-R8b-SM-DO11U	0.13418537706419925	0.34748573205743000	0.07116857909830893	0.20654961202479230	0.04562781438456671	0.05473636313077793	0.03791974426674875	0.08785289066845171	0.01447388730472448	0.00000000000000000	0.45725551332852504	0.90334506116673585
GTEX-11DXW-0011-R1a-SM-DNZZD	0.19634603884044877	0.14475958079611895	0.01114755805437299	0.14900477245799595	0.25631067242122962	0.00000000000000000	0.01770914573025696	0.21059575256445331	0.01412647913512341	0.00000000000000000	0.74172188381380610	0.68804977315696747
GTEX-11DXW-0011-R3b-SM-DNZZE	0.09294089664300668	0.28317994216988712	0.00609087047713245	0.33213798295689156	0.04787796386692762	0.00000000000000000	0.01443317923114979	0.20946315784039432	0.01387600681461043	0.00000000000000000	0.82644797458417285	0.74078392278934269
GTEX-11DXW-0011-R5b-SM-DO11D	0.14476249447593620	0.07868747024418060	0.01816771951088613	0.15355113991716299	0.20281874085395904	0.02389490528657520	0.02476609305335167	0.31608665253382412	0.03726478412412404	0.00000000000000000	0.71075396818247982	0.71425389895707503
GTEX-11DXW-0011-R6a-SM-DO11N	0.16887868330565417	0.25000287661628240	0.01327842348267337	0.11819164799628160	0.33516537181838069	0.00000000000000000	0.02150312123704583	0.08007474540341739	0.01290513014026464	0.00000000000000000	0.61704632655549951	0.78805009759633771
GTEX-11DXW-0011-R7b-SM-DO119	0.16203955387137486	0.05698009868695467	0.01975840859316932	0.05553629577275425	0.37397605361145453	0.00000000000000000	0.05457925327698426	0.23519805753210660	0.04193227865520156	0.00000000000000000	0.70310474389145194	0.71225575004163366
