Comparison	Trait	Ngenes	Beta	Beta_std	SE	pval	Data	Analysis	Direction	padj
hdbr_pseudotimeDE_downRegulated	Brain morphology all	5128	0.067257	0.027189	0.019582	0.0002974	Prenatal	pseudotimeDE	downRegulated	0.00127457142857143
gtex_sexDE_femaleBiased	Brain morphology all	307	-0.024801	-0.0027355	0.070439	0.63761	Adult	sexDE	femaleBiased	0.735703846153846
gtex_sexDE_maleBiased	Brain morphology all	620	0.063056	0.0098209	0.053401	0.11885	Adult	sexDE	maleBiased	0.59425
gtex_pseudotimeDE_upRegulated	Brain morphology all	2587	0.064434	0.019653	0.026545	0.0076092	Adult	pseudotimeDE	upRegulated	0.0326108571428571
gtex_pseudotimeDE_downRegulated	Brain morphology all	1710	0.035747	0.0090365	0.031398	0.12747	Adult	pseudotimeDE	downRegulated	0.23900625
hdbr_sexDE_femaleBiased	Cortical area	1185	0.025742	0.005478	0.032429	0.21366	Prenatal	sexDE	femaleBiased	0.7554
hdbr_sexDE_maleBiased	Cortical area	1723	0.015595	0.0039561	0.028669	0.29324	Prenatal	sexDE	maleBiased	0.804218181818182
hdbr_pseudotimeDE_upRegulated	Cortical area	7084	0.029982	0.013524	0.016408	0.03384	Prenatal	pseudotimeDE	upRegulated	0.071604
hdbr_pseudotimeDE_downRegulated	Cortical area	5128	0.033014	0.013346	0.017425	0.029081	Prenatal	pseudotimeDE	downRegulated	0.06711
gtex_sexDE_femaleBiased	Cortical area	307	-0.12659	-0.013963	0.062658	0.97832	Adult	sexDE	femaleBiased	0.97832
gtex_sexDE_maleBiased	Cortical area	620	0.0094804	0.0014766	0.04751	0.42092	Adult	sexDE	maleBiased	0.6546
gtex_pseudotimeDE_upRegulated	Cortical area	2587	0.013675	0.0041709	0.023619	0.28131	Adult	pseudotimeDE	upRegulated	0.401871428571429
gtex_pseudotimeDE_downRegulated	Cortical area	1710	-0.00010249	-2.5909e-05	0.027935	0.50146	Adult	pseudotimeDE	downRegulated	0.61062
hdbr_sexDE_femaleBiased	Cortical thickness	1185	0.037135	0.0079026	0.030047	0.10825	Prenatal	sexDE	femaleBiased	0.7554
